Наименование|Категория|Полное наименование|Мощность, кВт|Номинальная частота вращения, об/мин|Фактическая частота вращения, об/мин|Номинальный ток, А (при U=380В)|Напряжение, В|Количество полюсов|КПД, %|Коэфициент мощности, COS φ|Соотношение токов, Iп/Iн|Соотношение крутящих моментов, Mп/ Mн|Соотношение крутящих моментов, Mтах/ Mн|Момент инерции, кг*м2|Уровень шума, Дб|Габаритные размеры, мм|Высота вала, мм|Масса, кг|Частота, Гц|Класс энергоэффективности|Класс изоляции|Метод охлаждения|Класс защиты (пылевлагозащита)|Климатическое исполнение|Цена, руб.
АИР315S8|Электродвигатели АИР|Электродвигатель АИР315S8 90 кВт 750 об/мин|90|750|740|178|380/660 ( Δ / Y )|8|93.8|0.82|6.4|1.8|2|3,6000|82|1220x845|315|942|50|IE1|F|IC411|IP55|У1|337,057.00   
АИР280S2|Электродвигатели АИР|Электродвигатель АИР280S2 110 кВт 3000 об/мин|110|3000|2975|195|380/660 ( Δ / Y )|2|94|0.91|7.1|1.8|2.2|0,6000|96|995x680|280|594|50|IE1|F|IC411|IP55|У1|194,804.00   
АИР280S4|Электродвигатели АИР|Электродвигатель АИР280S4 110 кВт 1500 об/мин|110|1500|1480|201|380/660 ( Δ / Y )|4|94.5|0.88|6.9|2.1|2.2|0,6000|86|1025x680|280|638|50|IE1|F|IC411|IP55|У1|238,638.00   
АИР315MA8|Электродвигатели АИР|Электродвигатель АИР315MA8 110 кВт 750 об/мин|110|750|740|217|380/660 ( Δ / Y )|8|94|0.82|6.4|1.8|2|||1325x845|315|1100|50|IE1|F|IC411|IP55|У1|400,828.00   
АИР315S6|Электродвигатели АИР|Электродвигатель АИР315S6 110 кВт 1000 об/мин|110|1000|985|207|380/660 ( Δ / Y )|6|94|0.86|6.7|2|2|3,6000|85|1220x845|315|948|50|IE1|F|IC411|IP55|У1|373,622.00   
АИР355M10|Электродвигатели АИР|Электродвигатель АИР355M10 110 кВт 600 об/мин|110|600|600|230|380/660 ( Δ / Y )|10|94.5|0.83|6.4|1.8|2|||1560x1010|355|2500|50|IE1|F|IC411|IP55|У1|0.00   
АИР280M2|Электродвигатели АИР|Электродвигатель АИР280M2 132 кВт 3000 об/мин|132|3000|2975|233|380/660 ( Δ / Y )|2|94.5|0.91|7.1|1.8|2.2|0,7000|96|1045x680|280|676|50|IE1|F|IC411|IP55|У1|233,857.00   
АИР280M4|Электродвигатели АИР|Электродвигатель АИР280M4 132 кВт 1500 об/мин|132|1500|1480|240|380/660 ( Δ / Y )|4|94.8|0.88|6.9|2.1|2.2|0,7000|93|1075x680|280|708|50|IE1|F|IC411|IP55|У1|254,568.00   
АИР315MA6|Электродвигатели АИР|Электродвигатель АИР315MA6 132 кВт 1000 об/мин|132|1000|985|245|380/660 ( Δ / Y )|6|94.2|0.87|6.7|2|2|||1325x845|315|1112|50|IE1|F|IC411|IP55|У1|408,361.00   
АИР315MB8|Электродвигатели АИР|Электродвигатель АИР315MB8 132 кВт 750 об/мин|132|750|740|260|380/660 ( Δ / Y )|8|94|0.82|6.4|1.8|2|||1325x845|315|1300|50|IE1|F|IC411|IP55|У1|0.00   
